TIMBER CREEK 0852 NT,-15.643213,130.466591
TOP SPRINGS 0852 NT,-16.550344,131.802927
URALLA 0852 NT,-14.485833,132.32
VENN 0852 NT,-14.5934318,132.4802852
VICTORIA RIVER 0852 NT,-16.4866972,130.384975
VICTORIA RIVER DOWNS 0852 NT,-16.4020383,131.0123005
NEWCASTLE WATERS 0862 NT,-17.366667,133.4
NICHOLSON 0862 NT,-19.060079,136.6891712
PAMAYU 0862 NT,-18.3181995,133.7956873
RENNER SPRINGS 0862 NT,-18.3185553,133.795648
TABLELANDS 0862 NT,-19.7100502,135.8254025
WARREGO 0862 NT,-19.5127705,134.068414
ALICE SPRINGS 0870 NT,-23.698042,133.8807471
ARALUEN 0870 NT,-23.6961218,133.8529919
ARUMBERA 0870 NT,-23.7018903,133.8768733
BRAITLING 0870 NT,-23.6753134,133.8649341
CICCONE 0870 NT,-23.692579,133.8697101
CONNELLAN 0870 NT,-23.7721333,133.9123847
DESERT SPRINGS 0870 NT,-23.7142463,133.8888096
EAST SIDE 0870 NT,-23.6887032,133.900743
UNDOOLYA 0870 NT,-23.696888,133.9600237
WHITE GUMS 0870 NT,-23.7548953,133.7716579
ALI CURUNG 0872 NT,-21.0027811,134.4048542
AMOONGUNA 0872 NT,-23.7637984,133.9293711
AMPILATWATJA 0872 NT,-21.6564928,135.2252613
ANATYE 0872 NT,-22.6892523,136.4114532
ANMATJERE 0872 NT,-22.2461276,133.4105787
AREYONGA 0872 NT,-24.073056,132.269167
ATITJERE 0872 NT,-22.9797402,134.9323404
BARROW CREEK 0872 NT,-21.379898,133.975551
BURT PLAIN 0872 NT,-23.51854,133.7845479
CANTEEN CREEK 0872 NT,-20.6399983,135.5877235
HART 0872 NT,-22.9799349,134.9188043
HART RANGE 0872 NT,-22.9799349,134.9188043
HERMANNSBURG 0872 NT,-23.943056,132.777778
HUGH 0872 NT,-23.8127683,133.8473183
IMANPA 0872 NT,-25.1298613,132.5698017
ININTI STORE 0872 NT,-25.3513693,131.0642549
KALTUKATJARA 0872 NT,-24.874167,129.083611
KINGS CREEK STATION 0872 NT,-24.404167,131.818685
KINTORE 0872 NT,-23.276389,129.390278
KIWIRRKURRA 0872 WA,-22.8150723,127.7620053
KULGERA 0872 NT,-25.84363,133.287903
KUNPARRKA 0872 NT,-23.1989239,131.8009317
NYIRRIPI 0872 NT,-22.6522989,130.5686492
PAPUNYA 0872 NT,-23.2038559,131.9146854
PATJARR 0872 WA,-24.6159259,126.3142776
PETERMANN 0872 NT,-24.2563672,131.4955633
SANDOVER 0872 NT,-21.8147452,135.9358426
SANTA TERESA 0872 NT,-24.129318,134.3741498
SIMPSON 0872 NT,-25.0099639,136.923698
TANAMI 0872 NT,-20.9494266,130.6807101
TARA 0872 NT,-21.4895705,133.9961042
TELEGRAPH STATION 0872 NT,-23.672152,133.885853
TI TREE 0872 NT,-22.1285552,133.4172066
TITJIKALA 0872 NT,-24.6802302,134.0751086
TJUKURLA 0872 NT,-25.042992,128.303103
WALLACE ROCKHOLE 0872 NT,-24.123614,133.0898857
WILLOWRA 0872 NT,-21.2477653,132.6111369
WILORA 0872 NT,-21.7462792,133.7262246
WUTUNUGURRA 0872 NT,-20.4632175,135.2513072
YUELAMU 0872 NT,-22.2569675,132.2074134
YUENDUMU 0872 NT,-22.2538136,131.7957309
YULARA 0872 NT,-25.2334936,130.9848698
GAPUWIYAK 0880 NT,-12.5032,135.8057
THE UNIVERSITY OF SYDNEY 2006 NSW,-33.888584,151.1873473
ULTIMO 2007 NSW,-33.88223,151.19696
CHIPPENDALE 2008 NSW,-33.8863,151.1999
PYRMONT 2009 NSW,-33.8687895,151.1942171
DARLINGHURST 2010 NSW,-33.8780176,151.2204441
SURRY HILLS 2010 NSW,-33.886111,151.211111
ELIZABETH BAY 2011 NSW,-33.87143,151.22841
POTTS POINT 2011 NSW,-33.86795,151.22411
RUSHCUTTERS BAY 2011 NSW,-33.8742991,151.2284588
WOOLLOOMOOLOO 2011 NSW,-33.8704,151.2223
BEACONSFIELD 2015 NSW,-33.91096,151.19995
ALEXANDRIA 2015 NSW,-33.90166,151.20007
EVELEIGH 2015 NSW,-33.895,151.191
REDFERN 2016 NSW,-33.89333999999999,151.20461
WATERLOO 2017 NSW,-33.9004,151.20664
ZETLAND 2017 NSW,-33.908,151.2105
EASTLAKES 2018 NSW,-33.9219899,151.20733
ROSEBERY 2018 NSW,-33.92369,151.20528
BANKSMEADOW 2019 NSW,-33.95731,151.20699
NAREMBURN 2065 NSW,-33.81925,151.19971
BONDI 2026 NSW,-33.89195,151.26099
NORTH BONDI 2026 NSW,-33.8879,151.2808
BONDI BEACH 2026 NSW,-33.8914755,151.2766845
TAMARAMA 2026 NSW,-33.898,151.268
DARLING POINT 2027 NSW,-33.87021,151.23746
EDGECLIFF 2027 NSW,-33.8799875,151.2357452
POINT PIPER 2027 NSW,-33.87045,151.25097
DOUBLE BAY 2028 NSW,-33.8788259,151.2437606
ROSE BAY 2029 NSW,-33.8754209,151.265623
DOVER HEIGHTS 2030 NSW,-33.87185,151.27837
VAUCLUSE 2030 NSW,-33.85582,151.2712
WATSONS BAY 2030 NSW,-33.8398183,151.2816573
CLOVELLY 2031 NSW,-33.9121,151.2629
RANDWICK 2031 NSW,-33.91643,151.23653
DACEYVILLE 2032 NSW,-33.92793,151.22349
KINGSFORD 2032 NSW,-33.92457,151.22765
KENSINGTON 2033 NSW,-33.9096151,151.2189869
COOGEE 2034 NSW,-33.919,151.2555
SOUTH COOGEE 2034 NSW,-33.933,151.259
MAROUBRA 2035 NSW,-33.9495,151.2437
PAGEWOOD 2035 NSW,-33.9421,151.22287
GLEBE 2036 NSW,-33.8794258,151.186875
GLEBE 2037 NSW,-33.87978,151.18541
ANNANDALE 2038 NSW,-33.8824062,151.1723645
ROZELLE 2039 NSW,-33.86488,151.16735
LEICHHARDT 2040 NSW,-33.8847,151.1573
LILYFIELD 2040 NSW,-33.87303,151.16601
BALMAIN 2041 NSW,-33.85895,151.17906
BALMAIN EAST 2041 NSW,-33.85811,151.19017
BIRCHGROVE 2041 NSW,-33.85275,151.18024
NEWTOWN 2042 NSW,-33.897,151.1793
ERSKINEVILLE 2043 NSW,-33.90476,151.18479
ST PETERS 2044 NSW,-33.90951,151.17723
SYDENHAM 2044 NSW,-33.9158055,151.1679944
STANMORE 2048 NSW,-33.8920561,151.165081
LEWISHAM 2049 NSW,-33.8949,151.144415
CAMPERDOWN 2050 NSW,-33.8899117,151.1767348
PETERSHAM 2049 NSW,-33.8961,151.1543
UNSW SYDNEY 2052 NSW,-33.917347,151.2312675
HMAS PLATYPUS 2060 NSW,-33.843967,151.216454
LAVENDER BAY 2060 NSW,-33.8435728,151.2069658
ST LEONARDS 2065 NSW,-33.8227402,151.1942171
WOLLSTONECRAFT 2065 NSW,-33.83356,151.19128
NORTH SYDNEY 2066 NSW,-33.83965,151.20541
LANE COVE 2066 NSW,-33.8148708,151.1664351
LANE COVE NORTH 2066 NSW,-33.807,151.164
LANE COVE WEST 2066 NSW,-33.812,151.15
LINLEY POINT 2066 NSW,-33.8274222,151.1497868
LONGUEVILLE 2066 NSW,-33.83309,151.16494
NORTHWOOD 2066 NSW,-33.82813000000001,151.17619
CHATSWOOD 2067 NSW,-33.80077,151.1796
CHATSWOOD EAST 2067 NSW,-33.80077,151.1796
CHATSWOOD WEST 2067 NSW,-33.7966739,151.1621677
